memoria_max_meret,name,videokartya_memoria,processzor_orajel,memoria_foglalat,price,oprend,processzor_tipusa,memoria_tipusa,kijelzo_felbontas,link,videokartya_model,memoria_merete,videokartya_tipusa,processzor_modell,memoria_max_seb,kijelzo_meret
,<title>ASUS VivoBook X556UQ-XO207T Notebook Árak - ASUS VivoBook X556UQ-XO207T Laptop Akció</title>,2 GB,2.5 GHz,,"
          249 990 Ft-tól
      ",Windows 10 Home,Intel Core i7,DDR4,1366 x 768,http://www.arukereso.hu/notebook-c3100/asus/vivobook-x556uq-xo207t-p344094214/,Nvidia GeForce 940MX,8 GB,Dedikált,6500U,2133 MHz,"15.6"""
32 GB,<title>Lenovo IdeaPad 700 80RU009KHV Notebook Árak - Lenovo IdeaPad 700 80RU009KHV Laptop Akció</title>,4 GB,2.6 GHz,2,"
          249 900 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i7,DDR4,1920 x 1080,http://www.arukereso.hu/notebook-c3100/lenovo/ideapad-700-80ru009khv-p338335178/,Nvidia GeForce GTX 950M,4 GB,Dedikált,6700HQ,2133 MHz,"15.6"""
16 GB,<title>ASUS ROG G501VW-FW152T Notebook Árak - ASUS ROG G501VW-FW152T Laptop Akció</title>,4 GB,2.6 GHz,1,454 900 Ft       ,Operációs rendszer nélkül,Intel Core i7,DDR4,1920 x 1080,http://www.arukereso.hu/notebook-c3100/asus/rog-g501vw-fw152t-p334674180/,Nvidia GeForce GTX 960M,8 GB,Dedikált,6700HQ,2133 MHz,"15.6"""
,<title>Dell Inspiron 5559 212754 Notebook Árak - Dell Inspiron 5559 212754 Laptop Akció</title>,4 GB,2.5 GHz,,"
          211 170 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/dell/inspiron-5559-212754-p337687086/,AMD Radeon R5 M335,8 GB,Dedikált,6500U,1600 MHz,"15.6"""
12 GB,<title>ASUS K501UB-DM062D Notebook Árak - ASUS K501UB-DM062D Laptop Akció</title>,2 GB,2.5 GHz,1,"
          249 900 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/asus/k501ub-dm062d-p333893068/,Nvidia GeForce 940M,8 GB,Dedikált,6500U,1600 MHz,"15.6"""
32 GB,<title>ASUS ROG G752VY-GC067T Notebook Árak - ASUS ROG G752VY-GC067T Laptop Akció</title>,8 GB,2.6 GHz,4,"
          657 126 Ft-tól
      ",Windows 10 Home,Intel Core i7,DDR4,1920 x 1080,http://www.arukereso.hu/notebook-c3100/asus/rog-g752vy-gc067t-p332303705/,Nvidia GeForce GTX 980M,16 GB,Dedikált,6700HQ,2133 MHz,"17.3"""
,<title>ASUS ROG GL502VY-FI089T Notebook Árak - ASUS ROG GL502VY-FI089T Laptop Akció</title>,4 GB,2.6 GHz,,"
          574 190 Ft-tól
      ",Windows 10 Home,Intel Core i7,DDR4,3840 x 2160,http://www.arukereso.hu/notebook-c3100/asus/rog-gl502vy-fi089t-p343133994/,Nvidia GeForce GTX 980M,16 GB,Dedikált,6700HQ,2133 MHz,"15.6"""
,<title>Lenovo IdeaPad B71-80 80RJ0004GE Notebook Árak - Lenovo IdeaPad B71-80 80RJ0004GE Laptop Akció</title>,2 GB,,,"
          190 069 Ft
        ",Operációs rendszer nélkül,Intel Core i7,,1600 x 900,http://www.arukereso.hu/notebook-c3100/lenovo/ideapad-b71-80-80rj0004ge-p328587313/,AMD Radeon R5 M330,8 GB,Dedikált,6500U,,"17.3"""
,<title>ASUS ROG GL552VW-CN051D Notebook Árak - ASUS ROG GL552VW-CN051D Laptop Akció</title>,4 GB,2.6 GHz,,"
          305 990 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i7,DDR4,1920 x 1080,http://www.arukereso.hu/notebook-c3100/asus/rog-gl552vw-cn051d-p334672404/,Nvidia GeForce GTX 960M,8 GB,Dedikált,6700HQ,2133 MHz,"15.6"""
,<title>HP ENVY 17-n105ng K3D55EA Notebook Árak - HP ENVY 17-n105ng K3D55EA Laptop Akció</title>,2 GB,2.5 GHz,,"
          371 770 Ft
        ",Windows 10 Home,Intel Core i7,DDR3,1920 x 1080,http://www.arukereso.hu/notebook-c3100/hp/envy-17-n105ng-k3d55ea-p334888494/,Nvidia GeForce 940M,16 GB,Dedikált,6500U,,"17.3"""
,<title>MSI GT73VR-6RESLI4K32SR451 Notebook Árak - MSI GT73VR-6RESLI4K32SR451 Laptop Akció</title>,8 GB,2.7 GHz,,"
          1 542 900 Ft
        ",Windows 10 Home,Intel Core i7,,3840 x 2160,http://www.arukereso.hu/notebook-c3100/msi/gt73vr-6resli4k32sr451-p344820428/,Nvidia GeForce GTX 1070,32 GB,Dedikált,6820HK,,"17.3"""
,<title>ASUS ROG G752VY-GC144D Notebook Árak - ASUS ROG G752VY-GC144D Laptop Akció</title>,4 GB,,,"
          558 990 Ft
        ",Operációs rendszer nélkül,Intel Core i7,,1920 x 1080,http://www.arukereso.hu/notebook-c3100/asus/rog-g752vy-gc144d-p328581977/,Nvidia GeForce GTX 980M,8 GB,Dedikált,6700HQ,,"17.3"""
16 GB,<title>Acer Aspire V Nitro VN7-591G-71UX W8 NX.MUYEU.001 Notebook Árak - Acer Aspire V Nitro VN7-591G-71UX W8 NX.MUYEU.001 Laptop Akció</title>,4 GB,2.6 GHz,2,"
          434 899 Ft
        ",Windows 8.1,Intel Core i7,DDR3,3840 x 2160,http://www.arukereso.hu/notebook-c3100/acer/aspire-v-nitro-vn7-591g-71ux-w8-nx-muyeu-001-p264539440/,Nvidia GeForce GTX 960M,8 GB,Dedikált,4720HQ,1600 MHz,"15.6"""
,<title>Dell Inspiron 5559 INSP5559-30 Notebook Árak - Dell Inspiron 5559 INSP5559-30 Laptop Akció</title>,2 GB,2.5 GHz,,"
          217 681 Ft-tól
      ",Linux,Intel Core i7,DDR3,1366 x 768,http://www.arukereso.hu/notebook-c3100/dell/inspiron-5559-insp5559-30-p341461348/,AMD Radeon R5 M335,8 GB,Dedikált,6500U,1600 MHz,"15.6"""
