description,price,rank,link,other_name,g3d_mark,name
,,44,http://www.videocardbenchmark.net/gpu.php?gpu=128+DDR+Radeon+9700+TX+w%2FTV-Out&id=151,"128 DDR ATI Radeon 9700 TX w/TV-Out, 128 DDR ATI Radeon 9700 TX w/TV-Out Sec",NA,128 DDR Radeon 9700 TX w/TV-Out
"Bus Interface: PCIe, Max Memory Size: 2048 MB, Core Clock(s): 688 MHz, Memory Clock(s): 868 MHz, Graphics API Support: DirectX 10 OpenGL 2.1",,550,http://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V8650&id=406,ATI FireGL V8650,1.67,FireGL V8650
"Bus Interface: PCIe 2.0, Max Memory Size: 512 MB, Core Clock(s): 775 MHz, Memory Clock(s): 1125 MHz, Graphics API Support: DirectX 10.1 (SM 4.0 onl OpenGL 2.1",,650,http://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V7700&id=404,ATI FireGL V7700,3.71,FireGL V7700
"Bus Interface: PCIe, Max Memory Size: 512 MB, Core Clock(s): 600 MHz, Memory Clock(s): 800 MHz, Graphics API Support: DirectX 10 OpenGL 2.1",,615,http://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V7600&id=403,ATI FireGL V7600,NA,FireGL V7600
"Bus Interface: PCIe, Max Memory Size: 1024 MB, Core Clock(s): 600 MHz, Memory Clock(s): 650 MHz, Graphics API Support: DirectX 9.0c OpenGL 2",,117,http://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V7350&id=402,"ATI FireGL V7350, ATI FireGL V7350 Secondary",0.08,FireGL V7350
"Bus Interface: PCIe x16, Max Memory Size: 256 MB, Core Clock(s): 600 MHz, Memory Clock(s): 650 MHz, Graphics API Support: DirectX 9.0c OpenGL 2",,108,http://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V7200&id=400,"ATI FireGL V7200, ATI FireGL V7200 Secondary",NA,FireGL V7200
"Bus Interface: PCIe, Max Memory Size: 512 MB, Core Clock(s): 800 MHz, Memory Clock(s): 1100 MHz, Graphics API Support: DirectX 10 OpenGL 2.1",,352,http://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V5600&id=398,ATI FireGL V5600,NA,FireGL V5600
"Bus Interface: PCIe x16, Max Memory Size: 256 MB, Core Clock(s): 600 MHz, Memory Clock(s): 700 MHz, Graphics API Support: DirectX 9.0c OpenGL 2",,113,http://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V5200&id=397,"ATI FireGL V5200, ATI FireGL V5200 Secondary",NA,FireGL V5200
"Bus Interface: PCIe x16, Max Memory Size: 128 MB, Core Clock(s): 450 MHz, Memory Clock(s): 350 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,92,http://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V5100&id=396,"ATI FireGL V5100, ATI FireGL V5100 Secondary",NA,FireGL V5100
"Bus Interface: PCIe x16, Max Memory Size: 256 MB, Core Clock(s): 600 MHz, Memory Clock(s): 500 MHz, Graphics API Support: DirectX 10 OpenGL 2.1",,196,http://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V3600&id=394,ATI FireGL V3600,1.22,FireGL V3600
"Bus Interface: PCIe x16, Max Memory Size: 128 MB, Core Clock(s): 500 MHz, Memory Clock(s): 500 MHz, Graphics API Support: DirectX 9.0c OpenGL 2",,103,http://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V3400&id=393,"ATI FireGL V3400, ATI FireGL V3400 Secondary",NA,FireGL V3400
"Bus Interface: PCIe x16, Max Memory Size: 256 MB, Core Clock(s): 600 MHz, Memory Clock(s): 400 MHz, Graphics API Support: DirectX 9.0c OpenGL 2",,66,http://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V3350&id=392,"ATI FireGL V3350, ATI FireGL V3350 Secondary",NA,FireGL V3350
