memoria_max_meret,name,videokartya_memoria,processzor_orajel,memoria_foglalat,price,oprend,processzor_tipusa,memoria_tipusa,kijelzo_felbontas,link,videokartya_model,memoria_merete,videokartya_tipusa,processzor_modell,memoria_max_seb,kijelzo_meret
,<title>Acer Aspire 5 A515-51G-51JP LIN NX.GTCEU.002 Notebook Árak - Acer Aspire 5 A515-51G-51JP LIN NX.GTCEU.002 Laptop Akció</title>,2 GB,1.60 GHz,,"
          186 890 Ft-tól
      ",Endless OS,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/acer/aspire-5-a515-51g-51jp-lin-nx-gtceu-002-p388909647/,GeForce MX150,4 GB,Dedikált,8250U,2133 MHz,"15.6"""
,<title>Lenovo IdeaPad 320 80XV00AAHV Notebook Árak - Lenovo IdeaPad 320 80XV00AAHV Laptop Akció</title>,,1.8 GHz,,"
          82 990 Ft-tól
      ",FreeDOS,AMD E-sorozat,DDR3,1366 x 768,https://www.arukereso.hu/notebook-c3100/lenovo/ideapad-320-80xv00aahv-p382326775/,Radeon R5 M430,4 GB,Dedikált,E2-9000,1866 MHz,"15.6"""
,<title>ASUS VivoBook Pro 15 N580VD-DM456 Notebook Árak - ASUS VivoBook Pro 15 N580VD-DM456 Laptop Akció</title>,,2.8 GHz,,"327 900 Ft 
      ",Operációs rendszer nélkül,Intel Core i7,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/asus/vivobook-pro-15-n580vd-dm456-p392624311/,GeForce GTX 1050,8 GB,Dedikált,7700HQ,2133 MHz,"15.6"""
,<title>Dell Inspiron 3567 241035 Notebook Árak - Dell Inspiron 3567 241035 Laptop Akció</title>,2 GB,2.50 GHz,,"
          187 582 Ft-tól
      ",Linux,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/dell/inspiron-3567-241035-p388208431/,Radeon R5 M430,8 GB,Dedikált,7200U,2400 MHz,"15,6"""
,<title>Lenovo IdeaPad 320 80XH007LHV Notebook Árak - Lenovo IdeaPad 320 80XH007LHV Laptop Akció</title>,2 GB,2 GHz,,"170 900 Ft 
      ",Windows 10 Home,Intel Core i3,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/lenovo/ideapad-320-80xh007lhv-p381374029/,GeForce 920MX,4 GB,Dedikált,6006U,2133 MHz,"15.6"""
,<title>Acer Aspire 5 A515-51G-508B NX.GVLEU.008 Notebook Árak - Acer Aspire 5 A515-51G-508B NX.GVLEU.008 Laptop Akció</title>,,2.5 GHz,,"
          203 900 Ft-tól
      ",Endless OS,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/acer/aspire-5-a515-51g-508b-nx-gvleu-008-p398348773/,GeForce MX130,8 GB,Dedikált,7200U,2133 MHz,"15.6"""
,<title>Dell Vostro 3568 244423 Notebook Árak - Dell Vostro 3568 244423 Laptop Akció</title>,,2 GHz,,"
          135 900 Ft-tól
      ",Operációs rendszer nélkül,Intel Core i3,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/dell/vostro-3568-244423-p393465779/,HD Graphics 520,4 GB,Dedikált,6006U,,"15.6"""
,<title>Acer Aspire 5 A517-51G-52U6 LIN NX.GSXEU.006 Notebook Árak - Acer Aspire 5 A517-51G-52U6 LIN NX.GSXEU.006 Laptop Akció</title>,2 GB,1.60 GHz,2,"
          245 890 Ft-tól
      ",Endless OS,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/acer/aspire-5-a517-51g-52u6-lin-nx-gsxeu-006-p388421347/,GeForce MX150,8 GB,Dedikált,8250U,2133 MHz,"17.3"""
,<title>Dell Inspiron 3567 DI3567-I77500-A28GS256W1DF4BK Notebook Árak - Dell Inspiron 3567 DI3567-I77500-A28GS256W1DF4BK Laptop Akció</title>,2 GB,2.7 GHz,,"
          251 900 Ft-tól
      ",Windows 10 Home,Intel Core i7,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/dell/inspiron-3567-di3567-i77500-a28gs256w1df4bk-p387886245/,Radeon R5 M430,8 GB,Dedikált,7500U,2400 MHz,"15.6"""
32 GB,<title>Dell Vostro 5568 N016VN5568EMEA01_1801_UBU Notebook Árak - Dell Vostro 5568 N016VN5568EMEA01_1801_UBU Laptop Akció</title>,2 GB,2.5 GHz,,"
          204 900 Ft-tól
      ",Linux,Intel Core i5,DDR4,1366 x 768,https://www.arukereso.hu/notebook-c3100/dell/vostro-5568-n016vn5568emea01-1801-ubu-p366334931/,Nvidia GeForce 940MX,4 GB,Dedikált,7200U,2400 MHz,"15.6"""
