core,name,clock,price,rank,link,other_name,g3d_mark,description
1Typical TDP:-1 W,686 Gen,,,288Single Thread Rating: 0,https://www.cpubenchmark.net/cpu.php?cpu=686+Gen&id=1495,686 Gen,,
Socket:FT3Clockspeed:1.0 GHz2Typical TDP:3.9 W,AMD A4-1200 APU,Socket:FT31.0 GHzNo of Cores:2Typical TDP:3.9 W,,640Single Thread Rating: 371,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-1200+APU&id=2049,AMD A4-1200 APU with Radeon(TM) HD Graphics,,
Clockspeed:3.8 GHzTurbo Speed:4.0 GHz2 (in 1 physical modules)Typical TDP:65 W,AMD A4 PRO-7300B APU,3.8 GHzTurbo Speed:4.0 GHzNo of Cores:2 (in 1 physical modules)Typical TDP:65 W,,2342Single Thread Rating: 1446,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4+PRO-7300B+APU&id=2439,AMD A4 PRO-7300B APU with Radeon HD Graphics,,
Socket:BGA769 (FT3)Clockspeed:2.2 GHz4Typical TDP:25 W,AMD A4 PRO-3340B,Socket:BGA769 (FT3)2.2 GHzNo of Cores:4Typical TDP:25 W,,2402Single Thread Rating: 872,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4+PRO-3340B&id=2653,AMD A4 PRO-3340B with Radeon HD Graphics,,
Socket:FM2+Clockspeed:3.4 GHzTurbo Speed:3.8 GHz2 (in 1 physical modules)Typical TDP:65 W,AMD A4 PRO-7350B,Socket:FM2+3.4 GHzTurbo Speed:3.8 GHzNo of Cores:2 (in 1 physical modules)Typical TDP:65 W,,2794Single Thread Rating: 1386,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4+PRO-7350B&id=2450,"AMD A4 PRO-7350B R5, 5 Compute Cores 2C+3G",,
"Description:RADEON R7, 12 COMPUTE CORES 4C+8GSocket:AM4Clockspeed:3.1 GHzTurbo Speed:3.8 GHz4Typical TDP:35 W",AMD A12-9800E,"Description:RADEON R7, 12 COMPUTE CORES 4C+8GSocket:AM43.1 GHzTurbo Speed:3.8 GHzNo of Cores:4Typical TDP:35 W",,5097Single Thread Rating: 1618,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A12-9800E&id=3083,"AMD A12-9800E RADEON R7, 12 COMPUTE CORES 4C+8G",,"RADEON R7, 12 COMPUTE CORES 4C+8GSocket:AM4Clockspeed:3.1 GHzTurbo Speed:3.8 GHzNo of Cores:4Typical TDP:35 W"
Socket:FT3bClockspeed:1.0 GHzTurbo Speed:1.6 GHz4Typical TDP:4.5 W,AMD A4 Micro-6400T APU,Socket:FT3b1.0 GHzTurbo Speed:1.6 GHzNo of Cores:4Typical TDP:4.5 W,,1544Single Thread Rating: 585,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4+Micro-6400T+APU&id=2413,AMD A4 Micro-6400T APU + AMD Radeon R3 Graphics,,
"Description:RADEON R7, 12 COMPUTE CORES 4C+8GSocket:AM4Clockspeed:3.8 GHzTurbo Speed:4.2 GHz4 (in 2 physical modules)Typical TDP:65 W",AMD A12-9800,"Description:RADEON R7, 12 COMPUTE CORES 4C+8GSocket:AM43.8 GHzTurbo Speed:4.2 GHzNo of Cores:4 (in 2 physical modules)Typical TDP:65 W",,5590Single Thread Rating: 1856,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A12-9800&id=2861,"AMD A12-9800 RADEON R7, 12 COMPUTE CORES 4C+8G",,"RADEON R7, 12 COMPUTE CORES 4C+8GSocket:AM4Clockspeed:3.8 GHzTurbo Speed:4.2 GHzNo of Cores:4 (in 2 physical modules)Typical TDP:65 W"
"Description:RADEON R7, 10 COMPUTE CORES 4C+6GSocket:FP4Clockspeed:2.8 GHzTurbo Speed:3.5 GHz4Typical TDP:35 W",AMD A12-9730P,"Description:RADEON R7, 10 COMPUTE CORES 4C+6GSocket:FP42.8 GHzTurbo Speed:3.5 GHzNo of Cores:4Typical TDP:35 W",,4389Single Thread Rating: 1625,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A12-9730P&id=3040,"AMD A12-9730P RADEON R7, 10 COMPUTE CORES 4C+6G",,"RADEON R7, 10 COMPUTE CORES 4C+6GSocket:FP4Clockspeed:2.8 GHzTurbo Speed:3.5 GHzNo of Cores:4Typical TDP:35 W"
"Description:RADEON R7, 10 COMPUTE CORES 4C+6GSocket:FP4Clockspeed:2.5 GHzTurbo Speed:3.4 GHz4Typical TDP:15 W",AMD A12-9700P,"Description:RADEON R7, 10 COMPUTE CORES 4C+6GSocket:FP42.5 GHzTurbo Speed:3.4 GHzNo of Cores:4Typical TDP:15 W",,3759Single Thread Rating: 1324,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A12-9700P&id=2848,"AMD A12-9700P RADEON R7, 10 COMPUTE CORES 4C+6G",,"RADEON R7, 10 COMPUTE CORES 4C+6GSocket:FP4Clockspeed:2.5 GHzTurbo Speed:3.4 GHzNo of Cores:4Typical TDP:15 W"
"Description:RADEON R7, 12 COMPUTE CORES 4C+8GSocket:FP4Clockspeed:2.7 GHzTurbo Speed:3.6 GHz4Typical TDP:15 W",AMD A12-9720P,"Description:RADEON R7, 12 COMPUTE CORES 4C+8GSocket:FP42.7 GHzTurbo Speed:3.6 GHzNo of Cores:4Typical TDP:15 W",,3993Single Thread Rating: 1412,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A12-9720P&id=3043,"AMD A12-9720P RADEON R7, 12 COMPUTE CORES 4C+8G",,"RADEON R7, 12 COMPUTE CORES 4C+8GSocket:FP4Clockspeed:2.7 GHzTurbo Speed:3.6 GHzNo of Cores:4Typical TDP:15 W"
"Description:RADEON R7, 10 COMPUTE CORES 4C+6GSocket:AM4Clockspeed:3.0 GHzTurbo Speed:3.5 GHz4Typical TDP:35 W",AMD A10-9700E,"Description:RADEON R7, 10 COMPUTE CORES 4C+6GSocket:AM43.0 GHzTurbo Speed:3.5 GHzNo of Cores:4Typical TDP:35 W",,4775Single Thread Rating: 1565,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-9700E&id=3133,"AMD A10-9700E RADEON R7, 10 COMPUTE CORES 4C+6G",,"RADEON R7, 10 COMPUTE CORES 4C+6GSocket:AM4Clockspeed:3.0 GHzTurbo Speed:3.5 GHzNo of Cores:4Typical TDP:35 W"
