description,price,rank,link,other_name,g3d_mark,name
,,44,https://www.videocardbenchmark.net/gpu.php?gpu=128+DDR+Radeon+9700+TX+w%2FTV-Out&id=151,"128 DDR ATI Radeon 9700 TX w/TV-Out, 128 DDR ATI Radeon 9700 TX w/TV-Out Sec",NA,128 DDR Radeon 9700 TX w/TV-Out
"Bus Interface: PCIe 2.1 x16, Max Memory Size: 512 MB, Graphics API Support: DirectX 11 OpenGL 4.1 Max TDP: 17 W",,215,https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+2460&id=237,"AMD FirePro 2460, ATI FirePro 2460 (FireMV)",0.79,FirePro 2460
,,115,https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+2260&id=422,"ATI FirePro 2260, ATI FirePro 2260 (Engineering Sample - WDDM v1.1)",NA,FirePro 2260
"Bus Interface: PCIe 2.1 x1,x16, Max Memory Size: 1024 MB, Core Clock(s): 600 MHz, Memory Clock(s): 600 MHz, Graphics API Support: DirectX 11 OpenGL 4.1 Max TDP: 17 W",,226,https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+2270&id=115,"AMD FirePro 2270, AMD FirePro 2270 (ATI FireGL), ATI FirePro 2270",2.16,FirePro 2270
"Bus Interface: PCIe 2.0 x1,x16, Max Memory Size: 512 MB, Graphics API Support: DirectX 10.1 OpenGL 3.3 Max TDP: 36 W",,56,https://www.videocardbenchmark.net/gpu.php?gpu=FirePro+2450&id=423,ATI FirePro 2450,0.20,FirePro 2450
"Bus Interface: PCIe 2.0 x1,x16, PCI, Max Memory Size: 256 MB, Graphics API Support: DirectX 10.1 OpenGL 3.2 Max TDP: 15 W",,117,https://www.videocardbenchmark.net/gpu.php?gpu=FireMV+2260&id=417,ATI FireMV 2260,1.12,FireMV 2260
"Bus Interface: PCIe x1, Max Memory Size: 256 MB, Graphics API Support: DirectX 9 OpenGL 2.1",,14,https://www.videocardbenchmark.net/gpu.php?gpu=FireMV+2400+PCIe&id=418,ATI FireMV 2400,NA,FireMV 2400 PCIe
,,46,https://www.videocardbenchmark.net/gpu.php?gpu=FireMV+2250&id=416,"ATI FireMV 2250, ATI FireMV 2250 Secondary",0.43,FireMV 2250
"Bus Interface: PCIe x16, Max Memory Size: 128 MB, Graphics API Support: DirectX 9 OpenGL 2.1",,36,https://www.videocardbenchmark.net/gpu.php?gpu=FireMV+2200+PCIe&id=414,"ATI FireMV 2200, ATI FireMV 2200 Secondary",0.40,FireMV 2200 PCIe
"Bus Interface: PCIe, Max Memory Size: 2048 MB, Core Clock(s): 688 MHz, Memory Clock(s): 868 MHz, Graphics API Support: DirectX 10 OpenGL 2.1",,550,https://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V8650&id=406,ATI FireGL V8650,1.67,FireGL V8650
